name,,date,salary,team,opposing team,score,value,conesensus,avg fp,opp pitcher,hitting grade,hitting grade,savant grade,avg exit velo,hard hit %,barrel %,ops,slg,opp pitcher era,opp pitcher grade,team r/g
Manny Machado,3B/UTL,"July 31, 2023",4000,SDP,COL,9,3.7,15.17,11.02,Austin Gomber,COL,67.975,67.9,90.7,44.3,9.5,0.773,0.463,6.19,19.6,4.5
Justin Turner,C1B/3B/UTL,"July 31, 2023",3300,BOS,SEA,9.5,3.7,9.07,11.62,George Kirby,SEA,86.425,45.2,89.9,40.5,6.3,0.836,0.474,3.43,71.2,5
Gary Sanchez,C1B/UTL,"July 31, 2023",3300,SDP,COL,0,3.7,12.28,9.23,Austin Gomber,COL,34.2,72.6,88.4,42.7,10.4,0.662,0.398,6.19,19.6,4.5
Anthony Santander,OF/C1B/UTL,"July 31, 2023",3200,BAL,TOR,15.4,3.7,11.08,10.55,Chris Bassitt,TOR,84.175,78,90.9,45.5,11.7,0.847,0.503,4.12,53.9,5
Isaac Paredes,3B/C1B/2B/UTL,"July 31, 2023",3200,TBR,NYY,27.7,3.7,10.83,10.42,Jhony Brito,NYY,84.75,44.2,87.1,28.6,6.1,0.868,0.504,4.7,32.6,5.4
Wilmer Flores,C1B/3B/2B/UTL,"July 31, 2023",3100,SFG,ARI,18.7,3.7,10.97,8.68,Ryne Nelson,ARI,78.35,40.5,85.8,28.6,5.6,0.795,0.459,4.98,33.1,4.7
Joc Pederson,OF/UTL,"July 31, 2023",3100,SFG,ARI,0,3.7,10.41,9.55,Ryne Nelson,ARI,68.375,86.2,91.3,52.6,13.5,0.782,0.421,4.98,33.1,4.7
Michael Conforto,OF/UTL,"July 31, 2023",3000,SFG,ARI,3,3.7,10.74,9.42,Ryne Nelson,ARI,65.25,62.5,89.7,42.7,8.5,0.756,0.421,4.98,33.1,4.7
J.P. Crawford,SS/UTL,"July 31, 2023",2900,SEA,BOS,9.2,3.7,9.61,9.58,Nick Pivetta,BOS,72,27.9,89.4,38.9,3.8,0.77,0.402,4.83,55.7,4.5
Will Benson,OF/UTL,"July 31, 2023",2900,CIN,CHC,21.7,3.7,8.58,9.05,Marcus Stroman,CHC,90.825,72.1,90,37.9,10.3,0.875,0.484,2.88,75.4,4.9
Jose Abreu,C1B/UTL,"July 31, 2023",2800,HOU,CLE,3,3.7,9.78,8.29,Noah Syndergaard,CLE,39.925,52,89.4,41.8,7.1,0.642,0.352,7.16,20.4,4.7
Brandon Belt,C1B/UTL,"July 31, 2023",2800,TOR,BAL,3,3.7,10.43,8.51,Kyle Gibson,BAL,76.075,76.8,89.1,42.5,11.5,0.801,0.428,4.77,45.5,4.6
Yan Gomes,C1B/UTL,"July 31, 2023",2700,CHC,CIN,18.7,3.7,8.46,8.61,Andrew Abbott,CIN,54.8,66.1,87.5,35.3,9.2,0.699,0.403,2.45,81.4,4.7
Cavan Biggio,2B/C1B/UTL,"July 31, 2023",2600,TOR,BAL,0,3.7,8.27,6.04,Kyle Gibson,BAL,34.375,86.2,87.9,35.4,13.5,0.654,0.382,4.77,45.5,4.6
Victor Caratini,C1B/UTL,"July 31, 2023",2500,MIL,WSH,3,3.7,10.04,7.64,Jake Irvin,WSH,64.3,51.5,92.9,50,7,0.734,0.386,4.96,27.7,4.2
Matthew Batten,3B/UTL,"July 31, 2023",2500,SDP,COL,12.5,3.7,9.74,4.16,Austin Gomber,COL,99.65,99.5,85.3,33.3,33.3,1.917,1.25,6.19,19.6,4.5
Keibert Ruiz,C1B/UTL,"July 31, 2023",2400,WSN,MIL,0,3.7,8.71,8.11,Corbin Burnes,MIL,37.75,57.1,88.5,35.1,7.6,0.65,0.369,3.73,70.9,4.2
Alex Call,OF/UTL,"July 31, 2023",2300,WSN,MIL,9.2,3.7,7.15,7.78,Corbin Burnes,MIL,35.525,37,86.6,30.8,5.1,0.629,0.324,3.73,70.9,4.2
Matt Olson,C1B/UTL,"July 31, 2023",4100,ATL,LAA,27.7,3.6,13.29,14.07,Chase Silseth,LAA,86.05,96.3,94.7,56.9,19.1,0.933,0.573,3.99,70,5.6
Ketel Marte,2B/UTL,"July 31, 2023",3400,ARI,SF,12.7,3.6,11.2,12.06,Jakob Junis,SF,87.05,66.1,90.9,41.9,9.2,0.851,0.489,4.55,60,4.9
Masataka Yoshida,OF/UTL,"July 31, 2023",3400,BOS,SEA,0,3.6,9.83,11.26,George Kirby,SEA,93.125,49.7,89.1,42.8,6.8,0.883,0.502,3.43,71.2,5
Steven Kwan,OF/UTL,"July 31, 2023",3100,CLE,HOU,9.5,3.6,10.27,10.34,J.P. France,HOU,62.1,16.2,85.4,19.6,0.9,0.705,0.364,3.31,51.1,4
Ryan O'Hearn,C1B/OF/UTL,"July 31, 2023",2900,BAL,TOR,9.2,3.6,9.38,8.79,Chris Bassitt,TOR,90.2,78.5,93.3,58.2,11.8,0.869,0.517,4.12,53.9,5
Tom Murphy,C1B/UTL,"July 31, 2023",2800,SEA,BOS,3,3.6,7.78,8.68,Nick Pivetta,BOS,81.525,89.9,89.1,42,14.5,0.845,0.515,4.83,55.7,4.5
Mike Moustakas,C1B/3B/UTL,"July 31, 2023",2700,LAA,ATL,9,3.6,8.78,7.81,Charlie Morton,ATL,74.975,67.9,89.5,44.8,9.5,0.791,0.448,3.2,71.9,5
Jose Caballero,3B/2B/SS/UTL,"July 31, 2023",2600,SEA,BOS,6.2,3.6,7.98,7.96,Nick Pivetta,BOS,51.85,26.5,83.4,25,3.6,0.691,0.336,4.83,55.7,4.5
Kevin Kiermaier,OF/UTL,"July 31, 2023",2600,TOR,BAL,6.5,3.6,8.62,7.62,Kyle Gibson,BAL,73.075,29,86.9,33.9,4,0.761,0.427,4.77,45.5,4.6
