name,,date,salary,team,opposing team,score,value,conesensus,avg fp,opp pitcher,hitting grade,hitting grade,savant grade,avg exit velo,hard hit %,barrel %,ops,slg,opp pitcher era,opp pitcher grade,team r/g
Jarren Duran,OF/UTL,"June 27, 2023",2700,BOS,MIA,0,4.4,10.82,9.44,Sandy Alcantara,MIA,92.475,51.5,89.9,46.5,7,0.882,0.515,4.64,51.3,5
Jack Suwinski,OF/UTL,"June 27, 2023",2700,PIT,SD,24.9,4.4,10.57,9.84,Reiss Knehr,SD,74.325,94.9,91.9,50.3,18.5,0.846,0.496,15.88,5.7,4.2
Drew Waters,OF/UTL,"June 27, 2023",2400,KCR,CLE,0,4.4,9.2,6.35,Gavin Williams,CLE,55.725,92.8,88.9,38.7,16,0.704,0.398,3.94,50.5,3.7
Tyler Wade,OF/2B/SS/UTL,"June 27, 2023",2000,OAK,NYY,12.2,4.4,6.85,3.99,Jhony Brito,NYY,43.725,0,85.3,23.7,0,0.623,0.314,4.7,32.6,3.6
Luis Arraez,2B/UTL,"June 27, 2023",3200,MIA,BOS,18.9,4.3,11.25,10.13,Garrett Whitlock,BOS,93.35,19.9,88.3,24.7,2.2,0.899,0.468,5.23,45,4.2
Danny Jansen,C1B/UTL,"June 27, 2023",2800,TOR,SF,0,4.3,9.51,9.24,Alex Wood,SF,57.075,69.1,88.2,36.8,9.7,0.751,0.466,4.53,42,4.6
Nick Pratto,OF/C1B/UTL,"June 27, 2023",2700,KCR,CLE,3,4.3,10.04,8.85,Gavin Williams,CLE,59.075,67.9,88.8,45.3,9.5,0.718,0.389,3.94,50.5,3.7
Jake Rogers,C1B/UTL,"June 27, 2023",2500,DET,TEX,3,4.3,9.68,7.7,Martin Perez,TEX,51.3,92.5,91,49,15.7,0.742,0.446,4.84,25,3.9
Garrett Cooper,C1B/UTL,"June 27, 2023",2400,MIA,BOS,19,4.3,9.49,8.26,Garrett Whitlock,BOS,64.325,71.4,89.9,43.1,10.1,0.747,0.443,5.23,45,4.2
Travis Jankowski,OF/UTL,"June 27, 2023",2400,TEX,DET,6,4.3,8.84,7.31,Matt Manning,DET,86.35,0,85.7,26.9,0,0.839,0.418,3.72,52,5.9
Joc Pederson,OF/UTL,"June 27, 2023",3300,SFG,TOR,6.2,4.2,9.61,10.97,Kevin Gausman,TOR,68.375,86.2,91.3,52.6,13.5,0.782,0.421,3.03,89.1,4.7
Ha-Seong Kim,2B/3B/SS/UTL,"June 27, 2023",3000,SDP,PIT,16,4.2,11.67,8.95,Rich Hill,PIT,72.425,42.1,87.1,30,5.8,0.769,0.418,4.76,44.2,4.5
Starling Marte,OF/UTL,"June 27, 2023",2800,NYM,MIL,3,4.2,11.04,9.06,Julio Teheran,MIL,44.875,42.1,88.4,39.9,5.8,0.64,0.332,3.64,57.1,4.4
Mauricio Dubon,2B/SS/OF/UTL,"June 27, 2023",2700,HOU,STL,3.2,4.2,9.46,9.02,Jordan Montgomery,STL,58.95,29.5,87.1,30.1,4.1,0.694,0.391,3.23,70.7,4.7
Luis Garcia,2B/UTL,"June 27, 2023",2600,WSN,SEA,19,4.2,8.75,8.74,Bryan Woo,SEA,52.275,48,88.6,38.1,6.6,0.676,0.373,3.63,86.9,4.2
Corey Dickerson,OF/UTL,"June 27, 2023",2300,WSN,SEA,0,4.2,7.7,6.6,Bryan Woo,SEA,35.875,31.4,87.7,25,4.3,0.62,0.345,3.63,86.9,4.2
Jace Peterson,2B/3B/UTL,"June 27, 2023",2200,OAK,NYY,0,4.2,8.15,7.05,Jhony Brito,NYY,31.375,42.1,85.7,28,5.8,0.611,0.311,4.7,32.6,3.6
Dominic Smith,C1B/UTL,"June 27, 2023",2100,WSN,SEA,3,4.2,7.3,6.69,Bryan Woo,SEA,55.85,40,86.3,28.8,5.5,0.68,0.348,3.63,86.9,4.2
TJ Friedl,OF/UTL,"June 27, 2023",3000,CIN,BAL,24.9,4.1,9.47,10.59,Tyler Wells,BAL,83.65,17.5,86.1,24.8,1.5,0.808,0.44,3.18,73,4.9
Andrew McCutchen,OF/UTL,"June 27, 2023",2900,PIT,SD,15.7,4.1,10.97,10.33,Reiss Knehr,SD,78.325,53.1,89.8,44.4,7.3,0.801,0.421,15.88,5.7,4.2
Ezequiel Tovar,SS/UTL,"June 27, 2023",2900,COL,LAD,3,4.1,10.13,8.5,Clayton Kershaw,LAD,59.9,53.9,88.3,36.8,7.4,0.722,0.426,2.55,87.2,4.4
MJ Melendez,C1B/OF/UTL,"June 27, 2023",2700,KCR,CLE,0,4.1,9.89,8.34,Gavin Williams,CLE,33.95,77.5,93.3,52.1,11.6,0.636,0.346,3.94,50.5,3.7
Keibert Ruiz,C1B/UTL,"June 27, 2023",2600,WSN,SEA,21.7,4.1,8.1,7.71,Bryan Woo,SEA,37.75,57.1,88.5,35.1,7.6,0.65,0.369,3.63,86.9,4.2
Jordan Westburg,SS/3B/UTL,"June 27, 2023",2600,BAL,CIN,9,4.1,8.15,0,Andrew Abbott,CIN,58.425,0,89.4,47.4,0,0.717,0.396,2.45,81.4,5
Triston Casas,C1B/UTL,"June 27, 2023",2600,BOS,MIA,9,4.1,9.86,8.2,Sandy Alcantara,MIA,64.75,87.1,91.6,47,13.7,0.767,0.434,4.64,51.3,5
CJ Abrams,SS/UTL,"June 27, 2023",2500,WSN,SEA,12.2,4.1,7.66,8.37,Bryan Woo,SEA,57.7,41.4,86.9,35.8,5.7,0.72,0.42,3.63,86.9,4.2
DJ LeMahieu,3B/C1B/2B/UTL,"June 27, 2023",2500,NYY,OAK,3,4.1,9.73,7.77,Paul Blackburn,OAK,41.75,40,90.2,44.5,5.5,0.664,0.369,4.86,54.8,4.4
Edward Olivares,OF/UTL,"June 27, 2023",2500,KCR,CLE,6,4.1,9.39,8.65,Gavin Williams,CLE,52.725,59.5,86.8,38,8,0.705,0.41,3.94,50.5,3.7
Blake Sabol,C1B/OF/UTL,"June 27, 2023",2500,SFG,TOR,0,4.1,8.16,7.74,Kevin Gausman,TOR,62.125,84.3,90.4,40.1,13.1,0.742,0.431,3.03,89.1,4.7
Andruw Monasterio,SS/2B/3B/UTL,"June 27, 2023",2400,MIL,NYM,6,4.1,7.52,6.56,David Peterson,NYM,63.1,31.4,86.1,27.7,4.3,0.714,0.354,6.51,40.7,4.2
Josh Bell,C1B/UTL,"June 27, 2023",2400,CLE,KC,0,4.1,11.04,7.84,Brady Singer,KC,51.45,66.1,90.5,43.4,9.2,0.7,0.379,5.7,34.4,4
Mike Moustakas,C1B/3B/UTL,"June 27, 2023",2400,LAA,CWS,9.5,4.1,9.05,7.04,Michael Kopech,CWS,74.975,67.9,89.5,44.8,9.5,0.791,0.448,4.47,46.3,5
Aaron Hicks,OF/UTL,"June 27, 2023",2400,BAL,CIN,6.2,4.1,9.07,7.15,Andrew Abbott,CIN,54.1,38.6,85.7,29,5.3,0.715,0.389,2.45,81.4,5
Seth Brown,OF/UTL,"June 27, 2023",2400,OAK,NYY,21.7,4.1,9.6,7.23,Jhony Brito,NYY,35.65,89.7,90.8,48.6,14.4,0.665,0.389,4.7,32.6,3.6
Kolten Wong,2B/UTL,"June 27, 2023",2000,SEA,WSH,3.5,4.1,8.76,4.61,Jake Irvin,WSH,11.9,17.8,85.2,27.9,1.6,0.458,0.214,4.96,27.7,4.5
Jean Segura,3B/UTL,"June 27, 2023",2000,MIA,BOS,21.7,4.1,8.57,5.35,Garrett Whitlock,BOS,27.3,27.1,88,37.4,3.7,0.563,0.279,5.23,45,4.2
Jake Fraley,OF/UTL,"June 27, 2023",3300,CIN,BAL,0,4,9.46,11.21,Tyler Wells,BAL,82.475,53.9,84.6,30.5,7.4,0.831,0.468,3.18,73,4.9
Christian Walker,C1B/UTL,"June 27, 2023",3300,ARI,TB,18.7,4,10.73,11.71,Taj Bradley,TB,76.55,69.1,89.1,41.5,9.7,0.824,0.496,5.43,57.7,4.9
Nico Hoerner,2B/SS/UTL,"June 27, 2023",3200,CHC,PHI,6.5,4,10.24,11.58,Ranger Suarez,PHI,59.3,19,86.4,33.1,1.9,0.7,0.377,3.84,57.2,4.7
Brandon Drury,C1B/2B/UTL,"June 27, 2023",3100,LAA,CWS,6,4,10.87,10.03,Michael Kopech,CWS,79.275,78,89.9,46.1,11.7,0.822,0.5,4.47,46.3,5
Harrison Bader,OF/UTL,"June 27, 2023",3100,NYY,OAK,0,4,11.12,10.46,Paul Blackburn,OAK,54.525,57.4,85.1,27.5,7.7,0.715,0.439,4.86,54.8,4.4
William Contreras,C1B/UTL,"June 27, 2023",2900,MIL,NYM,9.2,4,11.46,9.1,David Peterson,NYM,78.975,67.7,90.8,48.4,9.4,0.799,0.445,6.51,40.7,4.2
Bryan De La Cruz,OF/UTL,"June 27, 2023",2800,MIA,BOS,25.2,4,10.19,9.24,Garrett Whitlock,BOS,65.8,48,90.5,44,6.6,0.734,0.414,5.23,45,4.2
Andres Gimenez,2B/UTL,"June 27, 2023",2800,CLE,KC,9.2,4,11.03,8.46,Brady Singer,KC,52.7,34,84.6,23.9,4.6,0.695,0.38,5.7,34.4,4
Joey Wiemer,OF/UTL,"June 27, 2023",2600,MIL,NYM,9,4,8.99,8.18,David Peterson,NYM,42.1,74.9,88.9,37.5,10.9,0.684,0.39,6.51,40.7,4.2
Kyle Isbel,OF/UTL,"June 27, 2023",2500,KCR,CLE,0,4,9.11,6.93,Gavin Williams,CLE,25.05,49.4,90.3,43.8,6.7,0.587,0.338,3.94,50.5,3.7
Will Benson,OF/UTL,"June 27, 2023",2500,CIN,BAL,3,4,7.16,7.27,Tyler Wells,BAL,90.825,72.1,90,37.9,10.3,0.875,0.484,3.18,73,4.9
Freddy Fermin,C1B/UTL,"June 27, 2023",2400,KCR,CLE,3,4,8.1,7.18,Gavin Williams,CLE,60.85,70.5,89.1,39.5,9.9,0.732,0.429,3.94,50.5,3.7
Garrett Stubbs,C1B/UTL,"June 27, 2023",2000,PHI,CHC,3,4,7.68,4.46,Jameson Taillon,CHC,41.1,0,79.7,8.8,0,0.621,0.3,6.15,35.4,4.6
Luis Robert Jr.,OF/UTL,"June 27, 2023",3400,CHW,LAA,0,3.9,10.17,11.66,Shohei Ohtani,LAA,85.425,92.1,88.8,40.7,15.6,0.908,0.575,3.5,79.4,4.2
Alex Bregman,3B/UTL,"June 27, 2023",3100,HOU,STL,3,3.9,10.01,10.64,Jordan Montgomery,STL,63.025,37.7,87.8,35.5,5.2,0.739,0.398,3.23,70.7,4.7
Steven Kwan,OF/UTL,"June 27, 2023",3100,CLE,KC,3,3.9,11.71,9.92,Brady Singer,KC,62.1,16.2,85.4,19.6,0.9,0.705,0.364,5.7,34.4,4
Hunter Renfroe,OF/UTL,"June 27, 2023",2900,LAA,CWS,0,3.9,10.07,9.62,Michael Kopech,CWS,61.675,55.5,89.7,42.5,7.5,0.751,0.451,4.47,46.3,5
Cal Raleigh,C1B/UTL,"June 27, 2023",2700,SEA,WSH,6,3.9,11.04,8.99,Jake Irvin,WSH,49.975,78.5,89.1,39.5,11.8,0.711,0.41,4.96,27.7,4.5
Luis Matos,OF/UTL,"June 27, 2023",2700,SFG,TOR,0,3.9,7.05,11.29,Kevin Gausman,TOR,52.975,30.2,86.2,33.8,4.2,0.667,0.333,3.03,89.1,4.7
Andrew Benintendi,OF/UTL,"June 27, 2023",2700,CHW,LAA,3,3.9,9.38,8.3,Shohei Ohtani,LAA,70.3,22.7,86.5,27,2.9,0.731,0.378,3.5,79.4,4.2
Amed Rosario,SS/UTL,"June 27, 2023",2700,CLE,KC,3,3.9,10.77,8.3,Brady Singer,KC,47.175,20.9,88.7,42.4,2.5,0.653,0.35,5.7,34.4,4
Brandon Marsh,OF/UTL,"June 27, 2023",2700,PHI,CHC,43.9,3.9,8.93,8.53,Jameson Taillon,CHC,82.675,58.8,91.6,48,7.9,0.816,0.459,6.15,35.4,4.6
Jose Abreu,C1B/UTL,"June 27, 2023",2600,HOU,STL,3,3.9,9.24,7.32,Jordan Montgomery,STL,39.925,52,89.4,41.8,7.1,0.642,0.352,3.23,70.7,4.7
Daniel Vogelbach,C1B/UTL,"June 27, 2023",2400,NYM,MIL,28.4,3.9,8.85,6.36,Julio Teheran,MIL,47.425,40.5,90.8,48.8,5.6,0.679,0.349,3.64,57.1,4.4
Henry Davis,C1B/OF/UTL,"June 27, 2023",2400,PIT,SD,9.5,3.9,9.3,8.7,Reiss Knehr,SD,77.05,45.2,88.8,44.4,6.3,0.775,0.402,15.88,5.7,4.2
Luis Urias,3B/SS/2B/UTL,"June 27, 2023",2300,MIL,NYM,0,3.9,9.2,6.03,David Peterson,NYM,20.2,36.1,84.9,30,5,0.535,0.236,6.51,40.7,4.2
Joey Wendle,SS/UTL,"June 27, 2023",2200,MIA,BOS,21.4,3.9,8.51,5.53,Garrett Whitlock,BOS,56.15,20.4,89.3,40.9,2.3,0.69,0.382,5.23,45,4.2
Jonathan Schoop,2B/UTL,"June 27, 2023",2100,DET,TEX,6.2,3.9,8.29,3.65,Martin Perez,TEX,24.175,29,89.4,38.6,4,0.55,0.272,4.84,25,3.9
Ryan McKenna,OF/UTL,"June 27, 2023",2100,BAL,CIN,3.5,3.9,7.24,3.23,Andrew Abbott,CIN,57.725,53.1,92.1,41.8,7.3,0.707,0.392,2.45,81.4,5
Jake Marisnick,OF/UTL,"June 27, 2023",2000,DET,TEX,0,3.9,7.76,2.31,Martin Perez,TEX,37.025,40,88.9,38.2,5.5,0.654,0.392,4.84,25,3.9
David Fletcher,SS/UTL,"June 27, 2023",2000,LAA,CWS,6.5,3.9,7.08,4.93,Michael Kopech,CWS,21.525,0,85.2,19.5,0,0.543,0.298,4.47,46.3,5
Matt McLain,SS/2B/UTL,"June 27, 2023",3800,CIN,BAL,28.2,3.8,9.86,13.35,Tyler Wells,BAL,90.15,78,89.1,41.6,11.7,0.869,0.504,3.18,73,4.9
Kyle Schwarber,OF/UTL,"June 27, 2023",3600,PHI,CHC,15.2,3.8,12.4,10.67,Jameson Taillon,CHC,54.625,91.4,91.8,46.7,15.4,0.758,0.444,6.15,35.4,4.6
Christian Yelich,OF/UTL,"June 27, 2023",3300,MIL,NYM,9.2,3.8,10.24,11.61,David Peterson,NYM,88.025,73.8,92.8,52.9,10.6,0.85,0.472,6.51,40.7,4.2
Anthony Santander,OF/C1B/UTL,"June 27, 2023",3200,BAL,CIN,0,3.8,11.03,10.97,Andrew Abbott,CIN,84.175,78,90.9,45.5,11.7,0.847,0.503,2.45,81.4,5
Harold Ramirez,OF/UTL,"June 27, 2023",2900,TBR,ARI,0,3.8,9.23,9.84,Zac Gallen,ARI,77.225,38.6,89.7,42.6,5.3,0.784,0.456,3.14,84.9,5.4
Jason Heyward,OF/UTL,"June 27, 2023",2900,LAD,COL,9,3.8,11.16,7.21,Connor Seabold,COL,74.525,57.4,88.2,40.6,7.7,0.799,0.454,7.18,16.8,5.5
J.D. Davis,3B/UTL,"June 27, 2023",2900,SFG,TOR,12.2,3.8,8.78,9.64,Kevin Gausman,TOR,75.925,69.8,91.6,48.8,9.8,0.784,0.437,3.03,89.1,4.7
Evan Longoria,3B/UTL,"June 27, 2023",2900,ARI,TB,27.9,3.8,9.27,9.12,Taj Bradley,TB,68.575,85.7,93.2,56.7,13.4,0.82,0.514,5.43,57.7,4.9
Giancarlo Stanton,OF/UTL,"June 27, 2023",2800,NYY,OAK,0,3.8,10.7,8.11,Paul Blackburn,OAK,51.75,91.3,93.5,52.5,15.3,0.747,0.459,4.86,54.8,4.4
Geraldo Perdomo,SS/2B/UTL,"June 27, 2023",2800,ARI,TB,9.7,3.8,9.34,10.11,Taj Bradley,TB,78.975,17.5,84.8,18.9,1.5,0.796,0.409,5.43,57.7,4.9
J.P. Crawford,SS/UTL,"June 27, 2023",2800,SEA,WSH,3,3.8,10.93,8.69,Jake Irvin,WSH,72,27.9,89.4,38.9,3.8,0.77,0.402,4.96,27.7,4.5
Taylor Ward,OF/UTL,"June 27, 2023",2800,LAA,CWS,9,3.8,9.85,9.25,Michael Kopech,CWS,60.1,55.5,91,44.7,7.5,0.721,0.395,4.47,46.3,5
Tommy Edman,SS/UTL,"June 27, 2023",2800,STL,HOU,0,3.8,9.51,9.29,Framber Valdez,HOU,49.7,31.4,90,40.9,4.3,0.693,0.391,2.76,88.8,4.7
Javier Baez,SS/UTL,"June 27, 2023",2700,DET,TEX,6.2,3.8,10.12,8.19,Martin Perez,TEX,26.5,25.8,87.7,38.9,3.4,0.575,0.321,4.84,25,3.9
Edouard Julien,2B/UTL,"June 27, 2023",2700,MIN,ATL,12.5,3.8,9.97,8.21,Bryce Elder,ATL,89.225,92.5,88.6,44.9,15.7,0.877,0.518,2.97,61.1,4.3
Spencer Torkelson,C1B/UTL,"June 27, 2023",2600,DET,TEX,18.7,3.8,10,8.56,Martin Perez,TEX,50.475,80.3,92.3,49.2,12.2,0.704,0.397,4.84,25,3.9
Yainer Diaz,C1B/UTL,"June 27, 2023",2600,HOU,STL,3,3.8,9,8.06,Jordan Montgomery,STL,67.775,84.6,90.9,46.7,13.2,0.775,0.487,3.23,70.7,4.7
Nelson Cruz,UTL/UTL,"June 27, 2023",2400,SDP,PIT,9.5,3.8,9.28,6.7,Rich Hill,PIT,48.175,66.1,92.4,48,9.2,0.681,0.399,4.76,44.2,4.5
Brandon Dixon,C1B/OF/UTL,"June 27, 2023",2300,SDP,PIT,15.2,3.8,8.68,5.24,Rich Hill,PIT,22.925,59.5,87,32,8,0.573,0.329,4.76,44.2,4.5
Rodolfo Castro,2B/SS/UTL,"June 27, 2023",2200,PIT,SD,12.7,3.8,9.05,5.85,Reiss Knehr,SD,45.1,60.4,87.9,36.8,8.1,0.672,0.355,15.88,5.7,4.2
Miguel Cabrera,C1B/UTL,"June 27, 2023",2200,DET,TEX,9.5,3.8,8.17,5.95,Martin Perez,TEX,50.05,32.8,89,32.6,4.5,0.661,0.329,4.84,25,3.9
Nicky Lopez,3B/2B/SS/UTL,"June 27, 2023",2200,KCR,CLE,3,3.8,7.59,4.91,Gavin Williams,CLE,40.325,0,86.5,20.5,0,0.631,0.296,3.94,50.5,3.7
Kody Clemens,C1B/UTL,"June 27, 2023",2100,PHI,CHC,12.2,3.8,8.12,5.67,Jameson Taillon,CHC,36.975,44.2,90.4,40.4,6.1,0.644,0.367,6.15,35.4,4.6
Tyler Nevin,3B/UTL,"June 27, 2023",2000,DET,TEX,6.5,3.8,7.34,3.53,Martin Perez,TEX,8.1,58.8,89.7,42.1,7.9,0.398,0.184,4.84,25,3.9
Ketel Marte,2B/UTL,"June 27, 2023",3500,ARI,TB,24.9,3.7,10.55,12.57,Taj Bradley,TB,87.05,66.1,90.9,41.9,9.2,0.851,0.489,5.43,57.7,4.9
Justin Turner,C1B/3B/UTL,"June 27, 2023",3400,BOS,MIA,9.2,3.7,11.1,10.8,Sandy Alcantara,MIA,86.425,45.2,89.9,40.5,6.3,0.836,0.474,4.64,51.3,5
Francisco Lindor,SS/UTL,"June 27, 2023",3400,NYM,MIL,21.7,3.7,11.26,11.3,Julio Teheran,MIL,64.325,79.6,91.9,45.7,12,0.78,0.464,3.64,57.1,4.4
George Springer,OF/UTL,"June 27, 2023",3400,TOR,SF,6,3.7,11.46,10.31,Alex Wood,SF,73.2,66.1,88.8,42.5,9.2,0.763,0.427,4.53,42,4.6
LaMonte Wade Jr.,C1B/UTL,"June 27, 2023",3200,SFG,TOR,0,3.7,9.29,10.08,Kevin Gausman,TOR,85.625,73.8,88.2,43.3,10.6,0.849,0.439,3.03,89.1,4.7
Brandon Nimmo,OF/UTL,"June 27, 2023",3100,NYM,MIL,40.9,3.7,11.33,10.37,Julio Teheran,MIL,78.1,71.9,91.6,46.6,10.2,0.803,0.444,3.64,57.1,4.4
Michael Conforto,OF/UTL,"June 27, 2023",3100,SFG,TOR,0,3.7,8.92,10.03,Kevin Gausman,TOR,65.25,62.5,89.7,42.7,8.5,0.756,0.421,3.03,89.1,4.7
Luke Raley,OF/C1B/UTL,"June 27, 2023",3000,TBR,ARI,6.2,3.7,0,10.58,Zac Gallen,ARI,90.075,91.4,91.5,47.7,15.4,0.931,0.572,3.14,84.9,5.4
Ryan Noda,C1B/UTL,"June 27, 2023",2900,OAK,NYY,3,3.7,9.73,9.14,Jhony Brito,NYY,66.175,86.2,90.8,44.2,13.5,0.777,0.403,4.7,32.6,3.6
Jesus Sanchez,OF/UTL,"June 27, 2023",2800,MIA,BOS,0,3.7,9.57,7.44,Garrett Whitlock,BOS,72.825,84.3,91.4,49.6,13.1,0.796,0.479,5.23,45,4.2
Maikel Garcia,3B/SS/UTL,"June 27, 2023",2800,KCR,CLE,0,3.7,9.27,9.42,Gavin Williams,CLE,61.825,34.6,91.7,49.7,4.7,0.703,0.374,3.94,50.5,3.7
Corey Julks,OF/UTL,"June 27, 2023",2700,HOU,STL,6,3.7,8.68,8.96,Jordan Montgomery,STL,68.05,31.4,87.8,37.3,4.3,0.732,0.405,3.23,70.7,4.7
Jake McCarthy,OF/UTL,"June 27, 2023",2700,ARI,TB,9,3.7,8.43,8.4,Taj Bradley,TB,51.7,25.8,86.4,23.6,3.4,0.679,0.351,5.43,57.7,4.9
Connor Wong,C1B/UTL,"June 27, 2023",2500,BOS,MIA,0,3.7,8.29,7.34,Sandy Alcantara,MIA,47.775,67.9,89.3,35.8,9.5,0.691,0.4,4.64,51.3,5
Joey Gallo,C1B/OF/UTL,"June 27, 2023",2500,MIN,ATL,12.2,3.7,8.93,8.53,Bryce Elder,ATL,56.95,98.3,93.4,57.5,21.7,0.783,0.473,2.97,61.1,4.3
Ramon Urias,3B/2B/C1B/UTL,"June 27, 2023",2500,BAL,CIN,0,3.7,8.74,7.88,Andrew Abbott,CIN,60.325,70.5,90.1,41.7,9.9,0.717,0.39,2.45,81.4,5
Robbie Grossman,OF/UTL,"June 27, 2023",2500,TEX,DET,3.5,3.7,9.45,8.65,Matt Manning,DET,39.625,46.6,88.3,37,6.4,0.657,0.361,3.72,52,5.9
Luis Rengifo,2B/SS/OF/UTL,"June 27, 2023",2400,LAA,CWS,15.2,3.6,8.16,6.41,Michael Kopech,CWS,34.975,32.8,88.3,34.1,4.5,0.632,0.329,4.47,46.3,5
David Hamilton,SS/UTL,"June 27, 2023",2400,BOS,MIA,3,3.7,8.42,6.1,Sandy Alcantara,MIA,13.35,0,88.9,26.3,0,0.472,0.207,4.64,51.3,5
Mickey Moniak,OF/UTL,"June 26, 2023",2700,LAA,CWS,3,5,10.27,12.71,Dylan Cease,CWS,94.125,91.8,88.1,36.1,15.5,0.99,0.632,4.18,67,5
Andy Ibanez,3B/OF/2B/UTL,"June 26, 2023",2100,DET,TEX,28.7,4.8,8.42,6.2,Andrew Heaney,TEX,43.3,80.3,90.9,49.4,12.2,0.675,0.41,4.43,51.4,3.9
Matt Vierling,OF/UTL,"June 26, 2023",2500,DET,TEX,18.4,4.6,9.6,8.05,Andrew Heaney,TEX,69.725,37.7,90.3,45.1,5.2,0.744,0.407,4.43,51.4,3.9
Matt McLain,SS/2B/UTL,"June 26, 2023",3600,CIN,BAL,3,4.4,12.25,13.35,Cole Irvin,BAL,90.15,78,89.1,41.6,11.7,0.869,0.504,5.5,35.8,4.9
Kevin Newman,SS/UTL,"June 26, 2023",2700,CIN,BAL,9.2,4.3,10.83,7.96,Cole Irvin,BAL,56.35,21.8,86.3,27.7,2.8,0.693,0.375,5.5,35.8,4.9
Clint Frazier,OF/UTL,"June 26, 2023",2100,CHW,LAA,0,4.3,7.32,4.64,Reid Detmers,LAA,24.525,0,82.5,25.6,0,0.545,0.242,4.42,68.1,4.2
Luis Robert Jr.,OF/UTL,"June 26, 2023",3200,CHW,LAA,21.7,4.2,11.36,11.66,Reid Detmers,LAA,85.425,92.1,88.8,40.7,15.6,0.908,0.575,4.42,68.1,4.2
Cal Raleigh,C1B/UTL,"June 26, 2023",2600,SEA,WSH,0,4.2,10.93,8.99,Trevor Williams,WSH,49.975,78.5,89.1,39.5,11.8,0.711,0.41,4.42,34.3,4.5
Matt Thaiss,C1B/UTL,"June 26, 2023",2500,LAA,CWS,3,4.2,7.95,7.41,Dylan Cease,CWS,65,64,89.1,39.2,8.8,0.74,0.373,4.18,67,5
Ramon Urias,3B/2B/C1B/UTL,"June 26, 2023",2500,BAL,CIN,18.9,4.2,10.41,7.88,Brandon Williamson,CIN,60.325,70.5,90.1,41.7,9.9,0.717,0.39,5.21,34.3,5
Mike Moustakas,C1B/3B/UTL,"June 26, 2023",2400,LAA,CWS,3,4.2,8.03,7.04,Dylan Cease,CWS,74.975,67.9,89.5,44.8,9.5,0.791,0.448,4.18,67,5
Daniel Vogelbach,C1B/UTL,"June 26, 2023",2400,NYM,MIL,0,4.2,9.82,6.48,Colin Rea,MIL,47.425,40.5,90.8,48.8,5.6,0.679,0.349,4.71,45.8,4.4
Aaron Hicks,OF/UTL,"June 26, 2023",2400,BAL,CIN,12.2,4.2,10.18,7.15,Brandon Williamson,CIN,54.1,38.6,85.7,29,5.3,0.715,0.389,5.21,34.3,5
Mike Ford,C1B/UTL,"June 26, 2023",2100,SEA,WSH,12.7,4.2,8.17,7.41,Trevor Williams,WSH,81.325,93.7,89.8,49.2,16.4,0.927,0.611,4.42,34.3,4.5
Anthony Santander,OF/C1B/UTL,"June 26, 2023",3200,BAL,CIN,12.4,4.1,12.68,10.97,Brandon Williamson,CIN,84.175,78,90.9,45.5,11.7,0.847,0.503,5.21,34.3,5
Edouard Julien,2B/UTL,"June 26, 2023",2700,MIN,ATL,6,4.1,9.14,8.28,Spencer Strider,ATL,89.225,92.5,88.6,44.9,15.7,0.877,0.518,3.66,87.6,4.3
Blake Perkins,OF/UTL,"June 26, 2023",2400,MIL,NYM,3,4.1,7.09,5.91,Justin Verlander,NYM,29.9,34.6,86,31.3,4.7,0.602,0.308,3.72,59.9,4.2
Eric Haase,C1B/OF/UTL,"June 26, 2023",2400,DET,TEX,12.2,4.1,8.57,6.08,Andrew Heaney,TEX,20.75,36.1,87.5,37.7,5,0.546,0.293,4.43,51.4,3.9
Ryan Jeffers,C1B/UTL,"June 26, 2023",2200,MIN,ATL,0,4.1,7.02,6.43,Spencer Strider,ATL,74.8,55.5,90.4,45.2,7.5,0.789,0.422,3.66,87.6,4.3
Curt Casali,C1B/UTL,"June 26, 2023",2000,CIN,BAL,3,4.1,7.55,3.46,Cole Irvin,BAL,17.625,18.3,84.9,25.9,1.7,0.484,0.195,5.5,35.8,4.9
Starling Marte,OF/UTL,"June 26, 2023",2800,NYM,MIL,12.2,4,11.23,9.01,Colin Rea,MIL,44.875,42.1,88.4,39.9,5.8,0.64,0.332,4.71,45.8,4.4
Tim Anderson,SS/UTL,"June 26, 2023",2500,CHW,LAA,0,4,9.93,6.9,Reid Detmers,LAA,23.175,23.7,88.1,39.9,3.1,0.53,0.266,4.42,68.1,4.2
Elvis Andrus,SS/2B/UTL,"June 26, 2023",2200,CHW,LAA,0,4,7.52,6.48,Reid Detmers,LAA,25.55,18.8,86.4,27.5,1.8,0.561,0.271,4.42,68.1,4.2
Ryan McKenna,OF/UTL,"June 26, 2023",2100,BAL,CIN,15.4,4,7.91,3.23,Brandon Williamson,CIN,57.725,53.1,92.1,41.8,7.3,0.707,0.392,5.21,34.3,5
Austin Hays,OF/UTL,"June 26, 2023",3000,BAL,CIN,22.7,3.9,12.67,9.89,Brandon Williamson,CIN,87.7,72.9,90.4,41.2,10.5,0.84,0.49,5.21,34.3,5
Jeimer Candelario,3B/UTL,"June 26, 2023",3000,WSN,SEA,3,3.9,8.88,10.25,Luis Castillo,SEA,77.375,52.5,88.7,38.4,7.2,0.813,0.477,2.96,82.9,4.2
