Name,Position,Team,Opp,Salary,Consensus,PPG,opp pitcher,slg,opp p era,pitcher consensus,era
Francisco Alvarez,C1B/UTL,NYM,STL,2800,10.79,8.58,Zack Thompson,0.464,3.96,0,0
Jeff McNeil,2B/OF/UTL,NYM,STL,2700,9.4,7.87,Zack Thompson,0.341,3.96,0,0
DJ Stewart,OF/UTL,NYM,STL,2400,0,5.85,Zack Thompson,0.5,3.96,0,0
Daniel Vogelbach,C1B/UTL,NYM,STL,2400,0,6.69,Zack Thompson,0.373,3.96,0,0
Rafael Ortega,OF/UTL,NYM,STL,2300,8.25,7.13,Zack Thompson,0.292,3.96,0,0
Jorge Polanco,3B/2B/UTL,MIN,PIT,3100,11.61,9.66,Andre Jackson,0.44,5.47,0,0
Matt Wallner,OF/UTL,MIN,PIT,2900,10.28,9.62,Andre Jackson,0.523,5.47,0,0
Ryan Jeffers,C1B/UTL,MIN,PIT,2800,9.91,8.17,Andre Jackson,0.48,5.47,0,0
Max Kepler,OF/UTL,MIN,PIT,2800,10.82,9.07,Andre Jackson,0.471,5.47,0,0
Carlos Correa,SS/UTL,MIN,PIT,2700,10.84,9.08,Andre Jackson,0.409,5.47,0,0
Michael A. Taylor,OF/UTL,MIN,PIT,2500,9.19,6.82,Andre Jackson,0.413,5.47,0,0
Joey Gallo,C1B/OF/UTL,MIN,PIT,2400,9.08,7.74,Andre Jackson,0.458,5.47,0,0
Christian Vazquez,C1B/UTL,MIN,PIT,2200,8.22,5.71,Andre Jackson,0.296,5.47,0,0
Christian Yelich,OF/UTL,MIL,TEX,3800,11.14,12.4,Andrew Heaney,0.456,4.17,0,0
Sal Frelick,OF/UTL,MIL,TEX,3500,0,11.18,Andrew Heaney,0.429,4.17,0,0
William Contreras,C1B/UTL,MIL,TEX,3100,11.76,9.94,Andrew Heaney,0.438,4.17,0,0
Carlos Santana,C1B/UTL,MIL,TEX,2900,10.2,9.5,Andrew Heaney,0.398,4.17,0,0
Willy Adames,SS/UTL,MIL,TEX,2900,9.78,9,Andrew Heaney,0.375,4.17,0,0
Andruw Monasterio,SS/2B/3B/UTL,MIL,TEX,2600,9.23,7.84,Andrew Heaney,0.393,4.17,0,0
Mark Canha,OF/C1B/UTL,MIL,TEX,2400,10.27,7.28,Andrew Heaney,0.375,4.17,0,0
Brice Turang,2B/SS/UTL,MIL,TEX,2400,8.5,6.7,Andrew Heaney,0.326,4.17,0,0
Tyrone Taylor,OF/UTL,MIL,TEX,2300,9.32,5.36,Andrew Heaney,0.331,4.17,0,0
Jake Burger,3B/UTL,MIA,LAD,3100,9.58,9.95,Tony Gonsolin,0.522,4.24,0,0
Jorge Soler,OF/UTL,MIA,LAD,3000,10.64,10.91,Tony Gonsolin,0.501,4.24,0,0
Jazz Chisholm Jr.,OF/UTL,MIA,LAD,3000,10.55,10.38,Tony Gonsolin,0.45,4.24,0,0
Josh Bell,C1B/UTL,MIA,LAD,3000,9.44,8.79,Tony Gonsolin,0.418,4.24,0,0
Luis Arraez,2B/UTL,MIA,LAD,2900,9.19,9.57,Tony Gonsolin,0.465,4.24,0,0
Bryan De La Cruz,OF/UTL,MIA,LAD,2600,8.93,9.06,Tony Gonsolin,0.427,4.24,0,0
Jesus Sanchez,OF/UTL,MIA,LAD,2400,8.4,7.69,Tony Gonsolin,0.469,4.24,0,0
Joey Wendle,SS/UTL,MIA,LAD,2100,7.01,5.26,Tony Gonsolin,0.326,4.24,0,0
Nick Fortes,C1B/UTL,MIA,LAD,2100,0,5.14,Tony Gonsolin,0.311,4.24,0,0
Mookie Betts,OF/2B/SS/UTL,LAD,MIA,4400,12.59,14.55,Sandy Alcantara,0.579,4.09,0,0
